,State,Ratio_3to2
30,GOA,1.9258072813150326
3,PUNJAB,1.5042161745955236
4,CHANDIGARH,1.2482660763507933
10,BIHAR,0.1115822158623265
5,UTTARAKHAND,0.11963687645467899
9,UTTAR PRADESH,0.12744829503431718
