,state-code,state,male-percentage,female-percentage,p-value
0,0.0,INDIA,20.241548410288495,17.498691792902125,0.0
1,1.0,JAMMU & KASHMIR,35.78051405115936,28.995278478266762,0.0
2,2.0,HIMACHAL PRADESH,13.885859708266214,12.177475641708218,0.0
3,3.0,PUNJAB,19.8118032318804,17.58998274784867,0.0
4,4.0,CHANDIGARH,24.85796408588114,23.926518628353346,1.604889370845333e-28
5,5.0,UTTARAKHAND,16.99633284693582,14.07897999381229,0.0
6,6.0,HARYANA,19.09201767148578,15.859122348087936,0.0
7,7.0,NCT OF DELHI,33.94719408197722,30.86982244348683,0.0
8,8.0,RAJASTHAN,10.540008202864184,8.24111506832045,0.0
9,9.0,UTTAR PRADESH,11.258478734454876,8.942479034101423,0.0
10,10.0,BIHAR,15.503510924293174,13.37619385445521,0.0
11,11.0,SIKKIM,35.25954127588448,32.58494575784241,1.7889561419292926e-107
12,12.0,ARUNACHAL PRADESH,33.86229675366151,33.68795861543859,0.03023856552480571
13,13.0,NAGALAND,34.67587437259002,35.323681950992444,1.340090758958926e-21
14,14.0,MANIPUR,28.086051164129223,25.949613606471317,0.0
15,15.0,MIZORAM,25.110788185234608,21.644979303039307,0.0
16,16.0,TRIPURA,31.176028715689913,26.98843760714538,0.0
17,17.0,MEGHALAYA,18.791056901849537,18.104927470599442,2.1074288869801872e-52
18,18.0,ASSAM,33.52135328693732,31.21273082056864,0.0
19,19.0,WEST BENGAL,14.939389789067823,11.585782275646203,0.0
20,20.0,JHARKHAND,26.628293685025945,24.28366517271119,0.0
21,21.0,ODISHA,21.244381046774354,18.27060985502321,0.0
22,22.0,CHHATTISGARH,12.276816727636282,10.904263373835567,0.0
23,23.0,MADHYA PRADESH,12.539962319779063,10.950205404886084,0.0
24,24.0,GUJARAT,31.368957609190613,25.71223892195612,0.0
25,25.0,DAMAN & DIU,32.870040784825115,35.09887461536806,1.3391154154427333e-29
26,26.0,DADRA & NAGAR HAVELI,35.58784062758051,39.02126723085849,6.997016599656083e-95
27,27.0,MAHARASHTRA,35.33379326799061,31.618782981971773,0.0
28,28.0,ANDHRA PRADESH,19.691770533940485,16.33025999349623,0.0
29,29.0,KARNATAKA,27.493410089439102,26.243053121548133,0.0
30,30.0,GOA,25.98452255323755,26.80562409213169,2.3509040066476664e-29
31,31.0,LAKSHADWEEP,14.802403163964616,11.703349282296651,4.979287149963976e-31
32,32.0,KERALA,15.966788649346508,13.899302529212715,0.0
33,33.0,TAMIL NADU,26.539198723780178,23.26741981982032,0.0
34,34.0,PUDUCHERRY,28.207330154070704,23.267898565093272,0.0
35,1000.0,ANDAMAN & NICOBAR ISLANDS,49.55464309832357,47.37212312194024,3.498394804942036e-41
