,state-code,state,male-percentage,female-percentage,p-value
0,0.0,INDIA,71.65011794931502,76.46426421106435,0.0
1,1.0,JAMMU & KASHMIR,45.26420709260613,56.81195599121451,0.0
2,2.0,HIMACHAL PRADESH,80.3563771567774,83.48259644801578,0.0
3,3.0,PUNJAB,50.24283332758404,56.11189913089054,0.0
4,4.0,CHANDIGARH,44.391497305666114,45.86583036182541,8.246713581904903e-52
5,5.0,UTTARAKHAND,80.87182909793796,84.33886987197585,0.0
6,6.0,HARYANA,75.85987986128515,80.01374409533558,0.0
7,7.0,NCT OF DELHI,57.8021538330756,61.22413425095329,0.0
8,8.0,RAJASTHAN,87.6517668407443,90.65604483256882,0.0
9,9.0,UTTAR PRADESH,87.26086903672274,89.96798876127744,0.0
10,10.0,BIHAR,82.60166608088775,85.31091975830817,0.0
11,11.0,SIKKIM,33.964775435664095,38.90270497761794,0.0
12,12.0,ARUNACHAL PRADESH,32.98711886058786,39.15752857132193,0.0
13,13.0,NAGALAND,35.40236705447427,40.470491784373486,0.0
14,14.0,MANIPUR,47.15039629191442,55.66402391180405,0.0
15,15.0,MIZORAM,68.63825519187378,74.9866664698164,0.0
16,16.0,TRIPURA,61.93405165238991,69.15313404918254,0.0
17,17.0,MEGHALAYA,70.4336681342135,74.15421912509143,0.0
18,18.0,ASSAM,49.93925446453807,57.54532598399346,0.0
19,19.0,WEST BENGAL,81.23793942565821,85.9592559782642,0.0
20,20.0,JHARKHAND,67.66620113092993,71.81120300334685,0.0
21,21.0,ODISHA,62.9193495647963,71.2965876928913,0.0
22,22.0,CHHATTISGARH,85.81285828334137,87.70008864640812,0.0
23,23.0,MADHYA PRADESH,85.44439418311656,87.62232038535575,0.0
24,24.0,GUJARAT,52.17802653815694,62.57966925462492,0.0
25,25.0,DAMAN & DIU,52.588472465253055,51.18778645665225,1.828752688937984e-11
26,26.0,DADRA & NAGAR HAVELI,41.57153179190751,42.79921840092298,4.849364374460227e-13
27,27.0,MAHARASHTRA,44.997805403617555,53.10492675057342,0.0
28,28.0,ANDHRA PRADESH,71.26914364792016,77.71797095164293,0.0
29,29.0,KARNATAKA,57.91316770163469,62.76065232283966,0.0
30,30.0,GOA,20.531428416808723,25.10922220446063,0.0
31,31.0,LAKSHADWEEP,65.7700087552456,76.98564593301435,5.673097744010105e-217
32,32.0,KERALA,73.21389130072903,77.72975908541568,0.0
33,33.0,TAMIL NADU,69.5585571687401,73.85282951746443,0.0
34,34.0,PUDUCHERRY,65.13009562277249,71.87626880187335,0.0
35,1000.0,ANDAMAN & NICOBAR ISLANDS,29.818456063212583,35.261380901468684,8.575750712363936e-281
